features;Layers;Neurons;Validation_Score;Test_score;Completion_time
4;5;25;50.303030303;49.0909090909;188.371531992
4;5;50;50.303030303;49.0909090909;268.871097566
4;5;75;50.303030303;49.0909090909;349.675766119
4;5;100;50.303030303;49.0909090909;434.611485608
12;3;10;50.303030303;49.0909090909;93.2834894016
12;3;25;50.303030303;49.0909090909;113.030839746
12;3;50;50.303030303;49.0909090909;155.555362761
12;3;75;50.303030303;49.0909090909;196.741262001
12;3;100;50.303030303;49.0909090909;243.233565155
12;4;10;50.303030303;49.0909090909;120.419435873
12;4;25;50.303030303;49.0909090909;150.746544922
12;4;50;50.303030303;49.0909090909;214.303624527
12;4;75;50.303030303;49.0909090909;277.018876334
12;4;100;50.303030303;49.0909090909;336.986135417
12;5;10;50.303030303;49.0909090909;149.717988199
12;5;25;50.303030303;49.0909090909;190.36312061
12;5;50;50.303030303;49.0909090909;276.25412683
12;5;75;50.303030303;49.0909090909;354.111074596
12;5;100;50.303030303;49.0909090909;438.077070205
10;3;10;50.303030303;49.0909090909;110.265794807
10;3;25;50.303030303;49.0909090909;85.3330420135
10;3;50;50.303030303;49.0909090909;116.105713771
10;3;75;50.303030303;49.0909090909;144.999648373
10;3;100;50.303030303;49.0909090909;174.295923211
10;4;10;50.303030303;49.0909090909;94.2944920116
10;4;25;50.303030303;49.0909090909;117.288744227
10;4;50;50.303030303;49.0909090909;168.506120058
10;4;75;50.303030303;49.0909090909;208.788601831
10;4;100;50.303030303;49.0909090909;250.045001892
10;5;10;50.303030303;49.0909090909;119.11053183
10;5;25;50.303030303;49.0909090909;150.28662297
10;5;50;50.303030303;49.0909090909;214.717741719
10;5;75;50.303030303;49.0909090909;274.674729543
10;5;100;50.303030303;49.0909090909;333.469054468
